,source,target,is_a,weight
249,THE_BLUE_16,Renzo_Reggiardo,fan,102.566666667
250,caguilar280978,Renzo_Reggiardo,fan,68.5666666667
251,graesykim28,Renzo_Reggiardo,fan,52.5
252,mafercitabourdi,Renzo_Reggiardo,fan,44.3
253,SITOBUR_SI,Renzo_Reggiardo,fan,34.6666666667
254,AtencioCelis,Renzo_Reggiardo,fan,62.8
255,Templar21000721,Renzo_Reggiardo,fan,2.63333333333
256,ericksannor,Renzo_Reggiardo,fan,81.1333333333
257,sosservicea108,Renzo_Reggiardo,fan,68.1
258,Amy1290Vasquez,Renzo_Reggiardo,fan,71.2
259,mariolreggiardo,Renzo_Reggiardo,fan,114.733333333
260,katrina_arceo,Renzo_Reggiardo,fan,60.2
261,gianfrancoarias,Renzo_Reggiardo,fan,111.033333333
262,arcangeljk1391,Renzo_Reggiardo,fan,102.566666667
263,evematiasb,Renzo_Reggiardo,fan,18.0
264,jorgestwart,Renzo_Reggiardo,fan,111.066666667
265,andrequijano85,Renzo_Reggiardo,fan,48.5666666667
266,ClaudiaCheshir,Renzo_Reggiardo,fan,43.7
267,0210Azul,Renzo_Reggiardo,fan,51.0
268,EUGUVI,Renzo_Reggiardo,fan,82.7
269,MariaJo67400650,Renzo_Reggiardo,fan,39.1666666667
270,urasperu,Renzo_Reggiardo,fan,65.7
271,VladimirMeza,Renzo_Reggiardo,fan,113.266666667
272,Byork580768023,Renzo_Reggiardo,fan,38.0666666667
273,CaychoMarita,Renzo_Reggiardo,fan,35.9666666667
274,los7rayos,Renzo_Reggiardo,fan,76.8
275,aryenedavir,Renzo_Reggiardo,fan,103.833333333
276,valeriaromerov4,Renzo_Reggiardo,fan,1.9
277,verobalarezo,Renzo_Reggiardo,fan,112.933333333
278,CastilloDa_Ni,Renzo_Reggiardo,fan,31.7666666667
279,mepz100,Renzo_Reggiardo,fan,84.9333333333
280,EXITOSMotupe,Renzo_Reggiardo,fan,62.1333333333
281,roxpando,Renzo_Reggiardo,fan,84.4
282,tjclauditex,Renzo_Reggiardo,fan,40.9666666667
283,CharaRommy,Renzo_Reggiardo,fan,30.8333333333
284,jimisalas,Renzo_Reggiardo,fan,47.7
285,MarcosEdison1,Renzo_Reggiardo,fan,86.4
286,EValdibia,Renzo_Reggiardo,fan,42.4666666667
287,HARAPIENTA,Renzo_Reggiardo,fan,101.7
288,Ccordova85,Renzo_Reggiardo,fan,88.8333333333
289,RomiFlores9230,Renzo_Reggiardo,fan,75.3
290,am_latorre,Renzo_Reggiardo,fan,98.2333333333
291,WilmanBueno,Renzo_Reggiardo,fan,3.03333333333
292,masipu2,Renzo_Reggiardo,fan,90.9666666667
293,Muni_Bellavista,Renzo_Reggiardo,fan,85.1666666667
294,HSagasteguiB,Renzo_Reggiardo,fan,21.5333333333
295,aleskrause,Renzo_Reggiardo,fan,84.5666666667
296,lairasarina,Renzo_Reggiardo,fan,65.2666666667
297,aitabz,Renzo_Reggiardo,fan,104.833333333
298,Jhanet25,Renzo_Reggiardo,fan,57.5333333333
299,nandito001,Renzo_Reggiardo,fan,109.766666667
300,WMiraval,Renzo_Reggiardo,fan,81.9666666667
301,jl_jordi,Renzo_Reggiardo,fan,74.7333333333
302,mirandolacalle,Renzo_Reggiardo,fan,24.3
303,PattyMoren01,Renzo_Reggiardo,fan,89.8666666667
304,nicole77056251,Renzo_Reggiardo,fan,78.9
305,arinconeffio,Renzo_Reggiardo,fan,82.8333333333
306,Larha24,Renzo_Reggiardo,fan,81.8333333333
307,luz549,Renzo_Reggiardo,fan,48.6
308,cupisnique_azul,Renzo_Reggiardo,fan,31.0333333333
309,LuiSanfeJ,Renzo_Reggiardo,fan,51.8666666667
310,cintya_barreto1,Renzo_Reggiardo,fan,31.8
311,j_barraca,Renzo_Reggiardo,fan,29.0666666667
312,AldoCalcina1,Renzo_Reggiardo,fan,25.1
313,BancesErick,Renzo_Reggiardo,fan,78.2
314,CSologuren,Renzo_Reggiardo,fan,111.166666667
315,CRENGIFOR,Renzo_Reggiardo,fan,92.2
316,michalsierralip,Renzo_Reggiardo,fan,70.4333333333
317,PakoSarmiento,Renzo_Reggiardo,fan,86.8666666667
318,eb94e1a5706e40c,Renzo_Reggiardo,fan,45.2666666667
319,claudinho2004,Renzo_Reggiardo,fan,110.433333333
320,argosi2504,Renzo_Reggiardo,fan,49.9333333333
321,yocerlu,Renzo_Reggiardo,fan,79.3666666667
322,carla81715,Renzo_Reggiardo,fan,78.0333333333
323,dinaramirezher1,Renzo_Reggiardo,fan,27.0666666667
324,EzelPalacios,Renzo_Reggiardo,fan,19.9666666667
325,PaoAlvarez77,Renzo_Reggiardo,fan,112.033333333
326,vanemariana12,Renzo_Reggiardo,fan,101.733333333
327,MoshyRosales,Renzo_Reggiardo,fan,102.433333333
328,leonoramartin18,Renzo_Reggiardo,fan,59.6333333333
329,Puchungo43,Renzo_Reggiardo,fan,62.4333333333
330,PPariasca,Renzo_Reggiardo,fan,45.5666666667
331,luisoberdejo,Renzo_Reggiardo,fan,79.2333333333
332,taneharemsac,Renzo_Reggiardo,fan,43.6
333,Fiore1386,Renzo_Reggiardo,fan,95.3666666667
334,evalunahf,Renzo_Reggiardo,fan,51.5333333333
335,fio_manrique,Renzo_Reggiardo,fan,29.3
336,r1rolan,Renzo_Reggiardo,fan,70.0333333333
337,Popena2,Renzo_Reggiardo,fan,85.2333333333
