fecha,Positividad,Likes,ReTweets,txt
2018-07-28 17:12:07,0.011262029802602838,205,31,Contratarán 2400 nuevos profesores de educación física para colegios. Esto fue ordeado por la ley q dimos el 2016. Bravo. Falta potenciar las facultades donde se estudia esa carrera.
2018-07-28 17:45:31,0.06877558026474975,32,9,"Presidente anuncia q seguirá fortaleciendo descentralización, entregando recursos. Excelente. Pero a la única Región a la que no se le han transferido competencias es a Lima. Lo reclamamos, el Perú no es Lima, así que Lima merece trabajar su destino como cualquier otra Región."
2018-07-28 17:54:13,0.5026964450159342,248,49,El discurso del Presidente duró 1 hora con 45. Tanto como un partido de furbol... hizo algunas buenas jugadas y metió un par de goles.
2018-07-28 17:57:33,0.48190506362094937,2,0,"No confundas. Esta muy bien entregar a cada Region lo que le toca. Pero eso debe incluir a Lima. Las competencias que se han entregado a todas las regiones, se las negaron a Lima y se las quedó el Ejecutivo. No es Vizcarra, eso viene de atrás."
2018-07-28 18:37:00,0.6160189633242925,1,0,O manejar nuestra educcion y salud d9nde hay tanto que hacer y que hoy nos la manejan los Ministros.solo a los limeños. Que nos den las riendas de nuestro futuro.
2018-07-28 18:38:40,0.9008634607891667,1,0,"A Lima Metropolitana, que para esos lo efectos asume como Región. La zona del país donde vive la mayor cantidad de peruanos"
2018-07-28 18:39:49,0.7930548544929347,2,0,Por eso pido potenciar sus facultades.
2018-07-28 18:39:49,0.7930548544929347,2,0,Por eso pido potenciar sus facultades.
2018-07-28 20:23:58,0.713449207974576,31,9,Hoy cumple 91 años de vida el simbolo futbolístico del Callao. Felicidades misilera ¡Vamos Boys!
2018-07-28 22:53:10,0.1365181996056829,1,0,¿cuál es la crítica? Lo vengo pidiendo hace años.
2018-07-29 15:01:37,0.8504837883023018,116,17,El club que le abrió la puerta de Europa cuando era un chiquillo hoy lo recibe hacia el final de du carrera. A seguir haciendo histora . Felicitaciones por volver al Werder Bremen.
2018-07-29 18:43:52,0.5301401962714022,65,5,Felicitaciones A romperla en España.
2018-07-30 05:25:15,0.0561960465128764,185,48,"Una persona que administra justicia al más alto nivel y que se defiende diciendo que no se conduce éticamente, deja al descubierto la cloaca en que se convirtió la administración de justicia en el Perú."
