,source,target,is_a,weight
67,Pazzmalena,RicardoBelmontC,fan,81.8333333333
68,elterrible56,RicardoBelmontC,fan,43.2
69,pardope001,RicardoBelmontC,fan,72.9333333333
70,carlossg58,RicardoBelmontC,fan,4.03333333333
71,k_dura,RicardoBelmontC,fan,95.5666666667
72,Fabl4no,RicardoBelmontC,fan,109.666666667
73,elmerantenor,RicardoBelmontC,fan,67.9333333333
74,JkEspada,RicardoBelmontC,fan,88.8333333333
75,miguelsolanompg,RicardoBelmontC,fan,95.8333333333
76,kfct23,RicardoBelmontC,fan,75.9333333333
77,angelwvd,RicardoBelmontC,fan,109.866666667
78,CORDELAVESAC,RicardoBelmontC,fan,72.3
79,percy09041,RicardoBelmontC,fan,48.0333333333
80,JoseBerrio,RicardoBelmontC,fan,111.133333333
81,AlexisJhampier,RicardoBelmontC,fan,42.5
82,EdgarCastaedaL1,RicardoBelmontC,fan,40.3333333333
83,chris_mazzini,RicardoBelmontC,fan,110.966666667
84,luchito1219,RicardoBelmontC,fan,7.26666666667
85,dantrav4,RicardoBelmontC,fan,46.1666666667
86,BozaJc,RicardoBelmontC,fan,64.1666666667
87,Angeles_Cancino,RicardoBelmontC,fan,70.9
88,nelsiculquia,RicardoBelmontC,fan,91.2333333333
89,Edson03745283,RicardoBelmontC,fan,1.5
90,kikeq2015,RicardoBelmontC,fan,43.1333333333
91,CHICASLATINAS7,RicardoBelmontC,fan,98.5666666667
92,Faku98189814,RicardoBelmontC,fan,0.266666666667
93,carolina02696,RicardoBelmontC,fan,32.8666666667
94,El_Alfarero,RicardoBelmontC,fan,105.333333333
95,POCHO429,RicardoBelmontC,fan,102.366666667
96,MarcoMedina00,RicardoBelmontC,fan,83.4
97,EdU_Chicchon,RicardoBelmontC,fan,99.9333333333
98,GeovaniParionaH,RicardoBelmontC,fan,0.233333333333
99,Sandra_NHG,RicardoBelmontC,fan,86.5
100,Erick58072182,RicardoBelmontC,fan,4.23333333333
101,jilgueroz2016,RicardoBelmontC,fan,30.3666666667
102,Bladimirfmp,RicardoBelmontC,fan,58.9333333333
103,Daysi181,RicardoBelmontC,fan,0.933333333333
104,Calin_Garcia,RicardoBelmontC,fan,65.5666666667
105,Daniele66285934,RicardoBelmontC,fan,7.16666666667
106,ResePeruTravel,RicardoBelmontC,fan,108.266666667
107,IngCutire,RicardoBelmontC,fan,87.8666666667
108,NilsFreddyC,RicardoBelmontC,fan,42.0666666667
109,YaninaR09575114,RicardoBelmontC,fan,2.46666666667
110,Ortiz70R,RicardoBelmontC,fan,30.5333333333
111,17seca,RicardoBelmontC,fan,0.5
112,roro797,RicardoBelmontC,fan,91.3666666667
113,Daniellcone,RicardoBelmontC,fan,95.3666666667
114,ZurdoFuentes,RicardoBelmontC,fan,87.4
115,werner_alianza,RicardoBelmontC,fan,90.4
116,LimaSegura2017,RicardoBelmontC,fan,74.7666666667
117,2020_aldo,RicardoBelmontC,fan,77.4
118,r_pasapera,RicardoBelmontC,fan,31.1
119,isaac_alamo,RicardoBelmontC,fan,36.2666666667
120,JuanLiveA20,RicardoBelmontC,fan,69.1666666667
121,NaNobalanza,RicardoBelmontC,fan,89.1666666667
122,ELNEROJUANCA,RicardoBelmontC,fan,109.766666667
123,YuriOliveraCerr,RicardoBelmontC,fan,25.6666666667
124,derryfrida,RicardoBelmontC,fan,107.8
125,qsmichaeljhunio,RicardoBelmontC,fan,59.5666666667
126,chichobonifaz,RicardoBelmontC,fan,109.8
127,Lonsmizq,RicardoBelmontC,fan,34.6
128,richardjeanneau,RicardoBelmontC,fan,102.5
129,ghinaaida,RicardoBelmontC,fan,73.1
130,GuisellaVargasO,RicardoBelmontC,fan,29.6333333333
131,HochMachado,RicardoBelmontC,fan,44.9666666667
132,_Zergi,RicardoBelmontC,fan,91.7666666667
133,Ronaldau_sp,RicardoBelmontC,fan,77.8
134,riverosed,RicardoBelmontC,fan,96.4
135,giancarloel2,RicardoBelmontC,fan,31.8333333333
136,JOSUE_GRANDE,RicardoBelmontC,fan,76.4
137,BTCmundo,RicardoBelmontC,fan,16.2333333333
138,Ghjfg43237077,RicardoBelmontC,fan,0.766666666667
139,dtaro33,RicardoBelmontC,fan,31.1
140,saysgafer,RicardoBelmontC,fan,92.5333333333
141,pakovalle,RicardoBelmontC,fan,112.033333333
142,Kemal_Soydere_1,RicardoBelmontC,fan,13.0666666667
143,Ophiuco,RicardoBelmontC,fan,101.6
144,JersonAlvacac,RicardoBelmontC,fan,0.133333333333
145,OscarTellechea,RicardoBelmontC,fan,109.166666667
146,jl021471,RicardoBelmontC,fan,31.8
147,JuanQuispeTicon,RicardoBelmontC,fan,28.7666666667
148,_Dianiiita_,RicardoBelmontC,fan,109.833333333
149,nefillim1,RicardoBelmontC,fan,48.2
150,sikeikofujimori,RicardoBelmontC,fan,89.9666666667
151,Cristopher_935,RicardoBelmontC,fan,66.5333333333
152,MarcoMontesino2,RicardoBelmontC,fan,63.9
153,29schreiber,RicardoBelmontC,fan,81.2666666667
154,nancymv1510,RicardoBelmontC,fan,8.43333333333
155,urpinedo,RicardoBelmontC,fan,93.6333333333
156,Cristianforo,RicardoBelmontC,fan,81.5333333333
157,DynelGT,RicardoBelmontC,fan,11.6
158,gaunar1,RicardoBelmontC,fan,54.4333333333
159,Nemiixa,RicardoBelmontC,fan,54.7
160,zackariasalma93,RicardoBelmontC,fan,19.3666666667
161,Luis60782908,RicardoBelmontC,fan,0.266666666667
162,gperalt,RicardoBelmontC,fan,101.533333333
163,YillCe,RicardoBelmontC,fan,74.4
164,fullvideosyfoto,RicardoBelmontC,fan,49.6
165,frayssi,RicardoBelmontC,fan,102.333333333
166,johnqc_johnqc27,RicardoBelmontC,fan,64.3666666667
167,BernardoZegarr3,RicardoBelmontC,fan,13.8666666667
168,BernardoZegarr2,RicardoBelmontC,fan,30.4333333333
169,flormavila,RicardoBelmontC,fan,110.833333333
170,eblc21,RicardoBelmontC,fan,65.4
171,ivanoc1515,RicardoBelmontC,fan,63.3
172,mundotvpe,RicardoBelmontC,fan,95.5333333333
173,elquejonazo,RicardoBelmontC,fan,18.8666666667
174,monalisaxxxyy,RicardoBelmontC,fan,33.9333333333
175,Rey_Koala,RicardoBelmontC,fan,43.7666666667
176,Carito666_666,RicardoBelmontC,fan,63.1
177,rivusu,RicardoBelmontC,fan,4.2
178,DionelCarhuapma,RicardoBelmontC,fan,29.1
179,alfredo_john,RicardoBelmontC,fan,68.5666666667
180,mervmiel,RicardoBelmontC,fan,23.6
181,Mixwuel,RicardoBelmontC,fan,48.6333333333
182,JuraJuliana,RicardoBelmontC,fan,38.3
183,alizoneoutlet,RicardoBelmontC,fan,34.7666666667
184,garciaeketty,RicardoBelmontC,fan,70.4
185,Annybsb1,RicardoBelmontC,fan,85.4
186,WHILLYPOLO,RicardoBelmontC,fan,110.033333333
187,malugn1,RicardoBelmontC,fan,87.8666666667
188,AnicamaW,RicardoBelmontC,fan,5.33333333333
189,HuberthFausto,RicardoBelmontC,fan,0.566666666667
190,diquispe,RicardoBelmontC,fan,126.566666667
191,JosCuadros,RicardoBelmontC,fan,85.4333333333
192,Jesusalvaradoz,RicardoBelmontC,fan,110.366666667
193,kiara_macazana,RicardoBelmontC,fan,43.1666666667
194,rosiam25,RicardoBelmontC,fan,48.5333333333
195,JHANHECITHA,RicardoBelmontC,fan,91.9333333333
196,liligarcia_16,RicardoBelmontC,fan,3.26666666667
197,lavoe88,RicardoBelmontC,fan,82.6666666667
198,lizita84,RicardoBelmontC,fan,97.5
199,janevidalt,RicardoBelmontC,fan,61.6666666667
200,MarielaJulia2,RicardoBelmontC,fan,16.1333333333
201,alfonsozavala1,RicardoBelmontC,fan,82.4333333333
202,RaycoMarquina,RicardoBelmontC,fan,130.366666667
203,Albertorp86,RicardoBelmontC,fan,111.433333333
204,davila_yorch,RicardoBelmontC,fan,14.2666666667
205,lopezm_cesar,RicardoBelmontC,fan,55.9666666667
206,alej0078,RicardoBelmontC,fan,71.2333333333
207,marlene_corahua,RicardoBelmontC,fan,30.8
208,Techeclau,RicardoBelmontC,fan,86.9
209,Magaly07487083,RicardoBelmontC,fan,0.233333333333
210,yasse20,RicardoBelmontC,fan,94.0666666667
211,Ivnsantos19,RicardoBelmontC,fan,0.966666666667
